2004-03-15 03:57:00.089464130,warning
2004-03-16 12:22:19.354325370,warning
2004-03-17 00:09:24.874530069,warning
2004-03-17 05:07:35.777229552,warning
2004-03-17 05:39:59.374812552,warning
2004-03-17 06:59:36.471472552,warning
2004-03-17 07:38:28.447258552,warning
2004-03-17 09:01:49.753472552,warning
2004-03-17 09:16:06.698543552,warning
2004-03-17 16:28:03.753327289,warning
2004-03-18 15:52:03.274458107,warning
2004-03-19 08:52:54.159367563,warning
2004-03-20 03:07:27.823520551,warning
2004-03-21 21:04:54.908944830,warning
2004-03-21 22:13:31.425484830,warning
2004-03-27 02:56:11.681366015,warning
2004-03-28 23:28:20.089339096,warning
2004-03-29 16:03:28.368399243,warning
2004-04-02 16:15:29.796127519,warning
2004-04-02 22:25:17.869599952,warning
2004-04-02 22:46:04.719370952,warning
2004-04-03 15:01:57.212233191,warning
2004-04-05 05:46:45.075174906,warning
2004-04-13 10:35:45.022068960,warning
